Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
310,United States Steel,9741.00,-0.247,"-1,165",-,"12,059",7034.00,-63,23350,-63,343
311,Markel,9735.10,0.022,816,-0.544,"41,710.10",15699.60,24,18900,24,343
312,ODP,9710.00,-0.088,-319,-4.222,"5,558",2317.10,-15,37000,-15,340
313,AES,9660.00,-0.052,46,-0.848,"34,603",18180.20,-3,8162,-3,284
314,Molson Coors Beverage,9654.00,-0.087,-949,-4.926,"27,331.10",11118.20,-16,17000,-16,282
315,J.B. Hunt Transport Services,9636.60,0.051,506,-0.02,"5,928.30",17765.80,31,30309,31,343
316,KKR,9629.70,0.056,"2,002.50",-0.001,"79,806.50",42352.60,33,1583,33,-
317,Hormel Foods,9608.50,0.012,908.1,-0.072,"9,908.30",25808.30,20,19100,20,92
318,Public Service Enterprise Group,9603.00,-0.047,"1,905",0.125,"50,050",30411.70,-1,12788,-1,247
319,Steel Dynamics,9601.50,-0.083,550.8,-0.179,"9,265.60",10721.50,-20,9625,-20,398
320,Dick's Sporting Goods,9584.00,0.095,530.3,0.783,"7,752.90",6798.80,42,33450,42,192
321,Mohawk Industries,9552.20,-0.042,515.6,-0.307,"14,327.80",13505.20,-,42000,-,376
322,Murphy USA,9504.30,-0.215,386.1,1.494,"2,685.70",3900.80,-60,7400,-60,399
323,Block,9497.60,1.015,213.1,-0.432,"9,869.60",103220.30,252,5477,-,191
324,Quest Diagnostics,9437.00,0.221,"1,431",0.668,"14,026",17127.60,86,44500,86,75
325,Newell Brands,9385.00,-0.069,-770,-8.223,"14,700",11390.40,-9,31000,-9,104
326,Liberty Media,9363.00,-0.09,"-1,421",-14.406,"44,004",14919.20,-20,7047,-20,325
327,Huntington Ingalls Industries,9361.00,0.052,696,0.268,"8,157",8295.70,30,42000,30,343
328,Cheniere Energy,9358.00,-0.038,-85,-1.131,"35,697",18256.60,1,1519,1,141
329,SpartanNash,9348.50,0.095,75.9,12.221,"2,277.40",709.30,41,14400,41,170
330,Alcoa,9286.00,-0.11,-170,-,"14,860",6053.60,-28,12900,-28,194
331,AGCO,9149.70,0.012,427.1,2.411,"8,504.20",10815.90,19,21426,19,399
